,building,block,street,area,postcode,price,hold,bedrooms
0,,,St John Street,London,EC1,2275000,Leasehold,1
1,,,St Agnes Close,London,E9,900000,Leasehold,1
2,,,Faversham II,Kent,,825000,Leasehold,1
3,,,Gloucester Terrace,London,W2,825000,Freehold,1
4,,,Epirus Road,London,SW6,695000,Leasehold,1
5,Woodstock Studios,,Woodstock Grove,London,W12,645000,Leasehold,1
6,Gattis Wharf,,New Wharf Road,London,N1,599999,Leasehold,1
7,Albion Works III,,Sigdon Road,London,E8,565000,Leasehold,1
8,Garland Court II,,Wansey Street,London,SE17,485000,Leasehold,1
9,Ruskin Park House,,Champion Hill,London,SE5,460000,Leasehold,1
10,Haddo Yard,,Whitstable,Kent,,375000,Leasehold,1
11,The Haptic Apartment,Televison Centre, Wood Lane,London,W12,2500000,Leasehold,2
12,,,Nile Street,London,N1,1700000,Share of Freehold,2
13,,,Warley Close,London,E10,1350000,Share of Freehold,2
14,,,Ravey Street,London,EC2,1325000,Leasehold,2
15,,,Morris Road,London,E14,1175000,Share of Freehold,2
16,,,Hackney Road,London,E2,1100000,Share of Freehold,2
17,Britannia Wharf,,Baldwin Terrace,London,N1,1100000,Freehold,2
18,Glenshaw Mansions,,Priory Road,London,NW6,1050000,Leasehold,2
19,Archway Studios,,Dartford Street,London,SE17,999999,Leasehold,2
20,,,Great Portland Street,London,W1,995000,Leasehold,2
21,Wellesley Court,,Maida Vale,London,W9,850000,Leasehold,2
22,,,Tudor Road,London,E9,850000,Leasehold,2
23,The Coach House,,Queen Anne Road,London,E9,795000,Freehold,2
24,The Old Bakery,,Probert Road,London,SW2,720000,Share of Freehold,2
25,,,London Road,London,SE23,710000,Share of Freehold,2
26,,,"Godolphin Road, A",London,W12,699950,Freehold,2
27,,,Chatsworth Road,London,E5,675000,Leasehold,2
28,Bruno Court II,,Fassett Square,London,E8,635000,Share of Freehold,2
29,,,Victorian Grove,London,N16,630000,Freehold,2
30,,,Donne Court,London,SE24,625000,Leasehold,2
31,,,Tanner's Hill II,London,SE8,625000,Freehold,2
32,Keeling House V,,Claredale Street,London,E2,590000,Leasehold,2
33,,,Colvestone Crescent,London,E8,580000,Share of Freehold,2
34,Bedford Towers,,Kings Road,Brighton,,530000,Leasehold,2
35,The Hall IV,,Foxes Dale,London,SE3,479950,Share of Freehold,2
36,,,Quernmore Road,London,N4,475000,Share of Freehold,2
37,Raleigh Court II,,Lymer Avenue,London,SE19,450000,Leasehold,2
38,Ruskin Park House II,,Champion Hill,London,SE5,450000,Leasehold,2
39,Moira House,,Gosling Way,London,SW9,395000,Leasehold,2
40,The Boiler House,,Blyth Road,London,UB3,375000,Leasehold,2
41,Pullman Court VI,,Streatham Hill,London,SW2,330000,Freehold,2
42,Travic Road,,Slough,Berkshire,,295000,Leasehold,2
43,Haddo Yard,,Whitstable,Kent,,225000,Leasehold,2
44,,,Christchurch Hill,London,NW3,4250000,Freehold,3
45,The Fran Hickman Apartment,Television Centre, Wood Lane,London,W12,4000000,Leasehold,3
46,Victor Wharf,,Clink Street,London,SE1,3950000,Leasehold,3
47,The Bella Freud Apartment,Television Centre, Wood Lane,London,W12,3825000,Leasehold,3
48,,,Lansdowne Crescent,London,W11,3650000,Freehold,3
49,,,Bentinck Mews,London,W1,3250000,Leasehold,3
50,,,Shoreditch High Street,London,E1,3200000,Share of Freehold,3
51,,,Barnsbury Square VIII,London,N1,2795000,Share of Freehold,3
52,The Observatory,,Wyfold Road,London,SW6,2500000,Share of Freehold,3
53,,,Hackney Road II,London,E2,2350000,Freehold,3
54,,,Strathearn Place,London,W2,2250000,Share of Freehold,3
55,,,Canonbury Grove II,London,N1,1900000,Freehold,3
56,,,Elliott Square,London,NW3,1750000,Freehold,3
57,,,Hoxton Street II,London,N1,1675000,Leasehold,3
58,,,Great Missenden,Buckinghamshire,,1500000,Freehold,3
59,,,Barrowgate Road,London,W4,1475000,Freehold,3
60,,,Regent's Park Road,London,NW1,1275000,Share of Freehold,3
61,,,Crofton Road,London,SE5,1095000,Freehold,3
62,,,Dingley Place,London,EC1,1050000,Freehold,3
63,Park Lofts,,Lyham Road,London,SW2,990000,Share of Freehold,3
64,,,Pulross Road,London,SW9,920000,Freehold,3
65,Shingle Street,,Woodbridge,Suffolk,,900000,Freehold,3
66,,,Sheepcote Lane,London,SW11,825000,Freehold,3
67,,,Coningham Mews,London,W12,825000,Freehold,3
68,,,Lewes III,East,Sussex,820000,Freehold,3
69,,,Water Street,Birmingham,,800000,Share of Freehold,3
70,,,Pascoe Road,London,SE13,795000,Freehold,3
71,Trellick Tower,,Golborne Road,London,W10,749000,Leasehold,3
72,,,Pednor,Buckinghamshire,,749000,Freehold,3
73,Pioneer Centre II,,St Mary's Road,London,SE15,710000,Leasehold,3
74,New Cross Lofts,,Pagnell Street,London,SE14,650000,Share of Freehold,3
75,The Cowshed,,Lenham Heath,Kent,,585000,Freehold,3
76,,,Broadstairs II,Kent,,525000,Freehold,3
77,,,Longton Avenue,London,SE26,495000,Freehold,3
78,,,Consort Road,London,SE15,475000,Leasehold,3
79,Parkham Wood House II,,Brixham,Devon,,475000,Freehold,3
80,Parkham Wood House II,,Brixham,Devon,,475000,Freehold,3
81,Quendon Way,,Frinton-on-Sea,Essex,,465000,Freehold,3
82,St John's Green,,Colchester,Essex,,465000,Freehold,3
83,,,Camber,East,Sussex,435000,Freehold (Land Only),3
84,Hackney,,Matlock,Derbyshire,,399999,Freehold,3
85,,,Pleydell Avenue,London,SE19,350000,Freehold (Land with Planning only),3
86,,,Anderby Creek,Lincolnshire,,330000,Freehold,3
87,,,Stoney Street,London,SE1,5950000,Leasehold,4
88,,,Berens Road,London,NW10,3500000,Freehold,4
89,The Tree House II,,Redberry Grove,London,SE26,1695000,Freehold,4
